0. camidx = 0, ptidx = 0, projections: x = 1597.07, y = 473.37.
1. camidx = 1, ptidx = 0, projections: x = 721.7, y = 522.98.
2. camidx = 2, ptidx = 0, projections: x = 577.91, y = 431.89.
3. camidx = 3, ptidx = 0, projections: x = 616.9, y = 612.9.
4. camidx = 7, ptidx = 0, projections: x = 890.26, y = 564.82.
5. camidx = 12, ptidx = 0, projections: x = -252.76, y = -274.34.
6. camidx = 16, ptidx = 0, projections: x = 983.69, y = 538.94.
7. camidx = 17, ptidx = 0, projections: x = -1284.4, y = 1003.56.
8. camidx = 0, ptidx = 1, projections: x = 1641.87, y = 478.63.
9. camidx = 1, ptidx = 1, projections: x = 786.17, y = 527.38.
10. camidx = 2, ptidx = 1, projections: x = 618.61, y = 434.57.
11. camidx = 3, ptidx = 1, projections: x = 679.21, y = 616.29.
12. camidx = 7, ptidx = 1, projections: x = 917.9, y = 567.15.
13. camidx = 12, ptidx = 1, projections: x = -226.44, y = -272.64.
14. camidx = 0, ptidx = 2, projections: x = 603.24, y = 237.57.
15. camidx = 1, ptidx = 2, projections: x = -837.29, y = 285.84.
16. camidx = 0, ptidx = 3, projections: x = 1549.64, y = 285.38.
17. camidx = 1, ptidx = 3, projections: x = 931.27, y = 297.54.
18. camidx = 2, ptidx = 3, projections: x = 727.6, y = 175.12.
19. camidx = 4, ptidx = 3, projections: x = 1483.55, y = 382.53.
20. camidx = 5, ptidx = 3, projections: x = 1170.52, y = 887.98.
21. camidx = 6, ptidx = 3, projections: x = 816.15, y = 173.77.
22. camidx = 7, ptidx = 3, projections: x = 893.25, y = 396.05.
23. camidx = 8, ptidx = 3, projections: x = 796.72, y = 376.78.
24. camidx = 16, ptidx = 3, projections: x = 957.69, y = 404.86.
25. camidx = 17, ptidx = 3, projections: x = -1000.18, y = 593.7.
26. camidx = 0, ptidx = 4, projections: x = 1682.8, y = 478.94.
27. camidx = 1, ptidx = 4, projections: x = 845.37, y = 522.94.
28. camidx = 2, ptidx = 4, projections: x = 659.84, y = 431.
29. camidx = 3, ptidx = 4, projections: x = 737.37, y = 610.35.
30. camidx = 7, ptidx = 4, projections: x = 947.48, y = 565.96.
31. camidx = 12, ptidx = 4, projections: x = -200.8, y = -275.06.
32. camidx = 17, ptidx = 4, projections: x = -1154.41, y = 995.26.
33. camidx = 18, ptidx = 4, projections: x = 28.12, y = 194.11.
34. camidx = 20, ptidx = 4, projections: x = 27.78, y = -28.8101.
35. camidx = 0, ptidx = 5, projections: x = 1662.39, y = 482.05.
36. camidx = 1, ptidx = 5, projections: x = 819.26, y = 532.53.
37. camidx = 2, ptidx = 5, projections: x = 642.2, y = 439.73.
38. camidx = 3, ptidx = 5, projections: x = 713.49, y = 621.25.
39. camidx = 6, ptidx = 5, projections: x = 819.43, y = 326.92.
40. camidx = 7, ptidx = 5, projections: x = 933.1, y = 570.32.
41. camidx = 12, ptidx = 5, projections: x = -212.85, y = -270.98.
42. camidx = 17, ptidx = 5, projections: x = -1181.62, y = 1007.34.
43. camidx = 18, ptidx = 5, projections: x = 19.09, y = 197.06.
44. camidx = 0, ptidx = 6, projections: x = 538.57, y = 405.43.
45. camidx = 1, ptidx = 6, projections: x = -947.77, y = 660.45.
46. camidx = 2, ptidx = 6, projections: x = -296.86, y = 355.39.
47. camidx = 4, ptidx = 6, projections: x = 879.92, y = 443.4.
48. camidx = 5, ptidx = 6, projections: x = 412.4, y = 860.78.
49. camidx = 7, ptidx = 6, projections: x = 233.9, y = 494.42.
50. camidx = 8, ptidx = 6, projections: x = -743.66, y = 602.3.
51. camidx = 10, ptidx = 6, projections: x = -249.92, y = -247.01.
52. camidx = 11, ptidx = 6, projections: x = 318.57, y = 340.07.
53. camidx = 18, ptidx = 6, projections: x = -478.67, y = 138.15.
54. camidx = 0, ptidx = 7, projections: x = 1662.66, y = 469.09.
55. camidx = 1, ptidx = 7, projections: x = 816.65, y = 508.38.
56. camidx = 2, ptidx = 7, projections: x = 641.27, y = 422.42.
57. camidx = 3, ptidx = 7, projections: x = 709.85, y = 595.85.
58. camidx = 18, ptidx = 7, projections: x = 18.8101, y = 189.73.
59. camidx = 0, ptidx = 8, projections: x = 1627.9, y = 486.43.
60. camidx = 1, ptidx = 8, projections: x = 760.01, y = 543.79.
61. camidx = 2, ptidx = 8, projections: x = 600.81, y = 447.28.
62. camidx = 3, ptidx = 8, projections: x = 653.47, y = 633.76.
63. camidx = 6, ptidx = 8, projections: x = 778.11, y = 334.28.
64. camidx = 7, ptidx = 8, projections: x = 909.25, y = 573.2.
65. camidx = 12, ptidx = 8, projections: x = -233.88, y = -267.13.
66. camidx = 17, ptidx = 8, projections: x = -1242.18, y = 1021.54.
67. camidx = 0, ptidx = 9, projections: x = 451.53, y = 438.14.
68. camidx = 1, ptidx = 9, projections: x = -1130.42, y = 755.96.
69. camidx = 2, ptidx = 9, projections: x = -376.02, y = 395.35.
70. camidx = 4, ptidx = 9, projections: x = 829.01, y = 458.58.
71. camidx = 7, ptidx = 9, projections: x = 180.16, y = 516.94.
72. camidx = 8, ptidx = 9, projections: x = -890.43, y = 659.83.
73. camidx = 9, ptidx = 9, projections: x = -396.92, y = 436.71.
74. camidx = 10, ptidx = 9, projections: x = -295.59, y = -227.2.
75. camidx = 11, ptidx = 9, projections: x = 259.91, y = 365.85.
76. camidx = 12, ptidx = 9, projections: x = -922.31, y = -323.3.
77. camidx = 18, ptidx = 9, projections: x = -517.74, y = 156.66.
78. camidx = 20, ptidx = 9, projections: x = -439.35, y = -63.61.
79. camidx = 0, ptidx = 10, projections: x = 1696.48, y = 183.52.
80. camidx = 1, ptidx = 10, projections: x = 1206.88, y = 117.19.
81. camidx = 7, ptidx = 10, projections: x = 982.05, y = 324.74.
82. camidx = 8, ptidx = 10, projections: x = 998.1, y = 219.86.
83. camidx = 9, ptidx = 10, projections: x = 583.81, y = 200.65.
84. camidx = 10, ptidx = 10, projections: x = 402.44, y = -396.15.
85. camidx = 12, ptidx = 10, projections: x = -151.64, y = -522.56.
86. camidx = 17, ptidx = 10, projections: x = -770.72, y = 423.37.
87. camidx = 18, ptidx = 10, projections: x = 88.11, y = -3.48999.
88. camidx = 0, ptidx = 11, projections: x = 1696.48, y = 183.52.
89. camidx = 1, ptidx = 11, projections: x = 1206.88, y = 117.19.
90. camidx = 6, ptidx = 11, projections: x = 1014.67, y = 40.53.
91. camidx = 8, ptidx = 11, projections: x = 998.1, y = 219.86.
